,city_fuel_economy,combine_fuel_economy,daysonmarket,engine_displacement,highway_fuel_economy,horsepower,is_certified,latitude,listing_id,longitude,mileage,owner_count,price,savings_amount,seller_rating,sp_id,vehicle_damage_category,year
count,209774.0,0.0,239128.0,225160.0,209774.0,225160.0,0.0,239128.0,239128.0,239128.0,227459.0,134433.0,239128.0,239128.0,236761.0,239120.0,0.0,239128.0
mean,27.129024569298387,,49.49798016125255,2753.9465269141942,33.24008695071839,211.11720554272517,,36.55284322998329,277616288.8038749,-92.19294694848978,38075.19630790604,1.4464380025737729,25644.887956784733,559.7876492924291,4.258095673461437,224268.00033874204,,2017.4583821217088
std,9.841009370814302,,80.34181012656838,902.3605257516375,8.359668466234734,66.44951822675786,,4.898908568191726,6570954.816402306,15.436291730515064,51964.91016290327,0.8106138813248916,11642.177503863366,858.7530959239571,0.46709042548939605,132961.97771951774,,4.139322505380863
min,10.0,,0.0,1500.0,12.0,82.0,,19.6425,55614488.0,-157.885,0.0,1.0,250.0,0.0,1.0,42784.0,,1960.0
25%,20.0,,10.0,2000.0,27.0,158.0,,33.3597,277100079.75,-102.332,5.0,1.0,17495.0,0.0,4.016666666666667,54820.0,,2017.0
50%,27.0,,24.0,2500.0,34.0,203.0,,36.8489,279583800.0,-87.8676,20149.0,1.0,24689.0,83.0,4.314285714285714,279310.0,,2019.0
75%,29.0,,52.0,3500.0,38.0,270.0,,40.4498,280895098.5,-80.2349,51295.0,2.0,33009.0,875.0,4.555555555555555,328813.5,,2020.0
max,78.0,,2730.0,5700.0,74.0,382.0,,61.172,281996070.0,-67.8405,389607.0,13.0,999999.0,20212.0,5.0,440798.0,,2021.0
